method,steps,prompt_length_group,num_prompts,avg_words,avg_elapsed_seconds,avg_elapsed_seconds_no_warmup,max_elapsed_seconds,avg_peak_vram_gb,avg_steps
fixed_10,10,10_words,10,10,0.690814089999958,0.5268225999999837,2.1667374999997264,6.979499816894531,10
fixed_10,10,30_words,10,30,0.525296390000085,0.525296390000085,0.5304411000001892,6.979499816894531,10
fixed_10,10,50_words,10,50,0.523254709999992,0.523254709999992,0.5325017000000116,6.979499816894531,10
fixed_20,20,10_words,10,10,1.1990932500000326,1.0189890666666643,2.820030900000347,6.979499816894531,20
fixed_20,20,30_words,10,30,0.9717766400000982,0.9717766400000982,1.0156314000000748,6.979499816894531,20
fixed_20,20,50_words,10,50,1.0005384600000071,1.0005384600000071,1.021550500000103,6.979499816894531,20
fixed_28,28,10_words,10,10,1.4682476899999528,1.3036372333333222,2.9497417999996287,6.979499816894531,28
fixed_28,28,30_words,10,30,1.3648468299999421,1.3648468299999421,1.4618679999998676,6.979499816894531,28
fixed_28,28,50_words,10,50,1.3327871699999378,1.3327871699999378,1.4070327999997971,6.979499816894531,28
fixed_10,10,all,30,30,0.5797883966666784,0.5250660137931249,2.1667374999997264,6.979499816894531,10
fixed_20,20,all,30,30,1.0571361166667126,0.9963466413793459,2.820030900000347,6.979499816894531,20
fixed_28,28,all,30,30,1.3886272299999443,1.3347956931034035,2.9497417999996287,6.979499816894531,28
