method,prompt_length_group,num_images,avg_words,avg_steps,avg_guidance_scale,avg_elapsed_seconds_no_warmup,avg_clip_cosine,avg_clip_score,min_clip_score,max_clip_score,avg_peak_vram_gb
fixed_10,all,30,30,10,4.5,0.5250660137931249,0.35689027309417726,35.689027309417725,29.978853464126587,40.06235599517822,6.979499816894531
fixed_10,10_words,10,10,10,4.5,0.5268225999999837,0.345250079035759,34.5250079035759,29.978853464126587,38.809409737586975,6.979499816894531
fixed_10,30_words,10,30,10,4.5,0.525296390000085,0.3591120183467865,35.91120183467865,31.659919023513794,40.06235599517822,6.979499816894531
fixed_10,50_words,10,50,10,4.5,0.523254709999992,0.36630872189998626,36.63087218999863,33.40784013271332,38.755208253860474,6.979499816894531
fixed_20,all,30,30,20,4.5,0.9963466413793459,0.3576220174630483,35.76220174630483,29.935193061828613,39.4730806350708,6.979499816894531
fixed_20,10_words,10,10,20,4.5,1.0189890666666643,0.34336199760437014,34.33619976043701,29.935193061828613,38.1231427192688,6.979499816894531
fixed_20,30_words,10,30,20,4.5,0.9717766400000982,0.36614065170288085,36.614065170288086,31.917190551757812,39.2966628074646,6.979499816894531
fixed_20,50_words,10,50,20,4.5,1.0005384600000071,0.3633634030818939,36.33634030818939,31.89433515071869,39.4730806350708,6.979499816894531
fixed_28,all,30,30,28,4.5,1.3347956931034035,0.358904042840004,35.8904042840004,30.043253302574158,39.4115149974823,6.979499816894531
fixed_28,10_words,10,10,28,4.5,1.3036372333333222,0.34443754255771636,34.44375425577164,30.043253302574158,38.46374750137329,6.979499816894531
fixed_28,30_words,10,30,28,4.5,1.3648468299999421,0.36666174829006193,36.666174829006195,32.078817486763,39.124080538749695,6.979499816894531
fixed_28,50_words,10,50,28,4.5,1.3327871699999378,0.36561283767223357,36.56128376722336,32.254016399383545,39.4115149974823,6.979499816894531
rule_pcas_7_2,all,30,30,19.333333333333332,4.5,0.9772549896551466,0.3574985861778259,35.74985861778259,29.522797465324402,39.32524919509888,6.979499816894531
rule_pcas_7_2,10_words,10,10,10,4.0,0.592885955555428,0.34154478311538694,34.154478311538696,29.522797465324402,37.43296265602112,6.979499816894531
rule_pcas_7_2,30_words,10,30,20,4.5,0.987984570000026,0.36614065170288085,36.614065170288086,31.917190551757812,39.2966628074646,6.979499816894531
rule_pcas_7_2,50_words,10,50,28,5.0,1.312457540000014,0.36481032371520994,36.481032371520996,31.268438696861267,39.32524919509888,6.979499816894531
deepseek_pcas_7_3,all,30,30,23.4,4.733333333333333,1.3034504206896538,0.3582863241434097,35.82863241434097,29.522797465324402,39.32524919509888,6.979499816894531
deepseek_pcas_7_3,10_words,10,10,15,4.25,0.9400391666667929,0.3435885965824127,34.35885965824127,29.522797465324402,38.1231427192688,6.979499816894531
deepseek_pcas_7_3,30_words,10,30,27.2,4.95,1.4195021899999118,0.3664600521326065,36.64600521326065,31.932848691940308,39.31776583194733,6.979499816894531
deepseek_pcas_7_3,50_words,10,50,28,5.0,1.51446877999997,0.36481032371520994,36.481032371520996,31.268438696861267,39.32524919509888,6.979499816894531
balanced_pcas,all,30,30,16,4.4,0.7513618034482251,0.35772367417812345,35.77236741781235,30.049234628677368,39.88931179046631,6.979499816894531
balanced_pcas,10_words,10,10,8,4.0,0.4654658777783172,0.34064575731754304,34.0645757317543,30.049234628677368,37.68494129180908,6.979499816894531
balanced_pcas,30_words,10,30,16,4.4,0.7370667599992885,0.367568701505661,36.7568701505661,31.894874572753906,39.88931179046631,6.979499816894531
balanced_pcas,50_words,10,50,24,4.8,1.022963180000079,0.36495656371116636,36.49565637111664,32.103127241134644,39.31342661380768,6.979499816894531
