method,prompt_length_group,num_prompts,avg_words,avg_steps,avg_guidance_scale,avg_elapsed_seconds,avg_elapsed_seconds_no_warmup,max_elapsed_seconds,avg_peak_vram_gb
fixed_20,all,30,30,20,4.5,1.0571361166667126,0.9963466413793459,2.820030900000347,6.979499816894531
fixed_20,10_words,10,10,20,4.5,1.1990932500000326,1.0189890666666643,2.820030900000347,6.979499816894531
fixed_20,30_words,10,30,20,4.5,0.9717766400000982,0.9717766400000982,1.0156314000000748,6.979499816894531
fixed_20,50_words,10,50,20,4.5,1.0005384600000071,1.0005384600000071,1.021550500000103,6.979499816894531
rule_pcas_7_2,all,30,30,19.333333333333332,4.5,1.0250873833333116,0.9772549896551466,2.4122268000000986,6.979499816894531
rule_pcas_7_2,10_words,10,10,10,4.0,0.774820039999895,0.592885955555428,2.4122268000000986,6.979499816894531
rule_pcas_7_2,30_words,10,30,20,4.5,0.987984570000026,0.987984570000026,1.0096325999998044,6.979499816894531
rule_pcas_7_2,50_words,10,50,28,5.0,1.312457540000014,1.312457540000014,1.3338432999998986,6.979499816894531
balanced_pcas,all,30,30,16,4.4,0.7939490899999024,0.7513618034482251,2.028980399998545,6.979499816894531
balanced_pcas,10_words,10,10,8,4.0,0.62181733000034,0.4654658777783172,2.028980399998545,6.979499816894531
balanced_pcas,30_words,10,30,16,4.4,0.7370667599992885,0.7370667599992885,0.7730603000018164,6.979499816894531
balanced_pcas,50_words,10,50,24,4.8,1.022963180000079,1.022963180000079,1.0445135999980266,6.979499816894531
