method,prompt_length_group,num_prompts,avg_words,avg_steps,avg_guidance_scale,avg_elapsed_seconds,avg_elapsed_seconds_no_warmup,max_elapsed_seconds,avg_peak_vram_gb
fixed_10,10_words,10,10,10,4.5,0.690814089999958,0.5268225999999837,2.1667374999997264,6.979499816894531
fixed_10,30_words,10,30,10,4.5,0.525296390000085,0.525296390000085,0.5304411000001892,6.979499816894531
fixed_10,50_words,10,50,10,4.5,0.523254709999992,0.523254709999992,0.5325017000000116,6.979499816894531
fixed_20,10_words,10,10,20,4.5,1.1990932500000326,1.0189890666666643,2.820030900000347,6.979499816894531
fixed_20,30_words,10,30,20,4.5,0.9717766400000982,0.9717766400000982,1.0156314000000748,6.979499816894531
fixed_20,50_words,10,50,20,4.5,1.0005384600000071,1.0005384600000071,1.021550500000103,6.979499816894531
fixed_28,10_words,10,10,28,4.5,1.4682476899999528,1.3036372333333222,2.9497417999996287,6.979499816894531
fixed_28,30_words,10,30,28,4.5,1.3648468299999421,1.3648468299999421,1.4618679999998676,6.979499816894531
fixed_28,50_words,10,50,28,4.5,1.3327871699999378,1.3327871699999378,1.4070327999997971,6.979499816894531
pcas,10_words,10,10,10,4.0,0.774820039999895,0.592885955555428,2.4122268000000986,6.979499816894531
pcas,30_words,10,30,20,4.5,0.987984570000026,0.987984570000026,1.0096325999998044,6.979499816894531
pcas,50_words,10,50,28,5.0,1.312457540000014,1.312457540000014,1.3338432999998986,6.979499816894531
fixed_10,all,30,30,10,4.5,0.5797883966666784,0.5250660137931249,2.1667374999997264,6.979499816894531
fixed_20,all,30,30,20,4.5,1.0571361166667126,0.9963466413793459,2.820030900000347,6.979499816894531
fixed_28,all,30,30,28,4.5,1.3886272299999443,1.3347956931034035,2.9497417999996287,6.979499816894531
pcas,all,30,30,19.333333333333332,4.5,1.0250873833333116,0.9772549896551466,2.4122268000000986,6.979499816894531
