prompt_index,reference_method,candidate_method,reference_image_path,candidate_image_path,mean_abs_rgb_0_255,rmse_rgb_0_255,max_channel_diff_0_255,pixels_changed_gt2_pct,pixels_changed_gt8_pct,pixels_changed_gt16_pct,similarity_bucket
18,fixed_20,fixed_28,outputs\day2_baseline_20steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,outputs\day2_baseline_28steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,4.8913,9.5285,196,71.28,27.28,10.80,clear_visual_change
18,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,outputs\day3_pcas\18_medium_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,0.0000,0.0000,0,0.00,0.00,0.00,near_identical
18,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,outputs\day3_pcas_balanced\18_medium_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,3.5528,7.2342,173,59.95,17.86,6.20,noticeable_local_change
18,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,outputs\day3_pcas_deepseek_balanced\18_high_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,5.0544,10.0677,180,68.07,27.29,12.08,clear_visual_change
19,fixed_20,fixed_28,outputs\day2_baseline_20steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,outputs\day2_baseline_28steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,3.8158,7.1078,169,64.21,20.72,7.22,noticeable_local_change
19,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,outputs\day3_pcas\19_medium_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,0.0000,0.0000,0,0.00,0.00,0.00,near_identical
19,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,outputs\day3_pcas_balanced\19_medium_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,10.4094,18.4847,240,87.25,56.33,32.27,clear_visual_change
19,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,outputs\day3_pcas_deepseek_balanced\19_high_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,3.7331,7.6207,225,59.76,19.55,7.74,noticeable_local_change
21,fixed_20,fixed_28,outputs\day2_baseline_20steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,outputs\day2_baseline_28steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,3.6092,8.4336,210,54.76,13.94,5.73,noticeable_local_change
21,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,outputs\day3_pcas\21_long_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,6.4415,13.4984,249,77.42,32.34,12.88,clear_visual_change
21,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,outputs\day3_pcas_balanced\21_long_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,4.3696,10.1948,237,62.61,18.14,7.16,noticeable_local_change
21,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,outputs\day3_pcas_deepseek_balanced\21_high_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,4.9880,11.5349,247,66.72,21.96,9.04,noticeable_local_change
22,fixed_20,fixed_28,outputs\day2_baseline_20steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,outputs\day2_baseline_28steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,2.9250,5.7323,140,50.17,13.62,4.56,noticeable_local_change
22,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,outputs\day3_pcas\22_long_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,5.0346,9.9226,222,69.66,26.82,11.18,clear_visual_change
22,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,outputs\day3_pcas_balanced\22_long_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,3.6507,7.4794,188,58.54,17.35,6.49,noticeable_local_change
22,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,outputs\day3_pcas_deepseek_balanced\22_high_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,3.4882,7.3596,190,55.50,15.93,6.07,noticeable_local_change
23,fixed_20,fixed_28,outputs\day2_baseline_20steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,outputs\day2_baseline_28steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,5.7280,12.3862,222,68.58,27.57,13.18,clear_visual_change
23,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,outputs\day3_pcas\23_long_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,7.4176,14.7661,227,80.54,37.30,17.82,clear_visual_change
23,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,outputs\day3_pcas_balanced\23_long_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,5.1467,9.7781,209,71.29,27.30,11.04,clear_visual_change
23,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,outputs\day3_pcas_deepseek_balanced\23_high_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,5.0413,10.3120,255,67.77,25.05,10.63,clear_visual_change
26,fixed_20,fixed_28,outputs\day2_baseline_20steps\26_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,outputs\day2_baseline_28steps\26_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,4.4841,9.6013,196,54.66,19.43,8.61,noticeable_local_change
26,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\26_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,outputs\day3_pcas\26_long_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,10.4339,20.1287,252,81.00,43.80,25.60,clear_visual_change
26,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\26_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,outputs\day3_pcas_balanced\26_long_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,6.6882,14.0294,251,66.62,28.79,14.92,clear_visual_change
26,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\26_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,outputs\day3_pcas_deepseek_balanced\26_high_a_steampunk_workshop_contains_brass_gears_glass_tubes_a_robot_bi.png,12.0449,22.7000,245,84.06,49.00,29.95,clear_visual_change
28,fixed_20,fixed_28,outputs\day2_baseline_20steps\28_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,outputs\day2_baseline_28steps\28_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,3.0760,5.9211,174,49.97,11.93,3.51,noticeable_local_change
28,fixed_20,rule_pcas_7_2,outputs\day2_baseline_20steps\28_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,outputs\day3_pcas\28_long_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,5.3857,10.0225,204,72.97,24.20,9.87,noticeable_local_change
28,fixed_20,balanced_pcas,outputs\day2_baseline_20steps\28_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,outputs\day3_pcas_balanced\28_long_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,3.8953,7.2844,187,59.62,16.23,5.60,noticeable_local_change
28,fixed_20,deepseek_balanced_pcas,outputs\day2_baseline_20steps\28_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,outputs\day3_pcas_deepseek_balanced\28_high_a_detective_office_is_cluttered_with_case_files_where_a_woman_st.png,4.0638,8.0325,187,57.38,17.26,6.44,noticeable_local_change
30,fixed_20,fixed_28,outputs\day2_baseline_20steps\30_a_futuristic_classroom_shows_robots_and_children_building_a_smal.png,outputs\day2_baseline_28steps\30_a_futuristic_classroom_shows_robots_and_children_building_a_smal.png,4.8940,9.8705,237,66.13,24.33,10.65,noticeable_local_change
